"prompt","prompt_token_len","has_code_keyword","has_length_constraint","instruction_verb","ends_with_question","actual_output_tokens","latency_ms"
"I am training a binary text classifier using a fine-tuned BERT model on an imbalanced dataset (95% negative, 5% positive). The model achieves 95% accuracy but terrible recall on the positive class. Walk me through: (1) why accuracy is a misleading metric here, (2) three resampling or loss-weighting techniques I can apply, (3) which evaluation metrics I should switch to, and (4) how to tune the decision threshold after training.","107","1","0","how","0","1596","35444.08"
"I have a PostgreSQL table 'events' with 200 million rows and the following columns: id SERIAL, user_id INT, event_type VARCHAR(64), created_at TIMESTAMPTZ, payload JSONB. A query filtering by user_id and event_type over the last 30 days takes 8 seconds. Diagnose the likely bottlenecks and propose at least four concrete optimizations, including index strategy, partitioning approach, and any schema changes.","102","0","0","other","0","1523","35829.76"
"Conduct a security review of the following Python Flask endpoint. Identify every vulnerability class present, explain the attack vector for each, and provide a corrected version of the code:

@app.route('/login', methods=['POST'])
def login():
    username = request.form['username']
    password = request.form['password']
    query = f""SELECT * FROM users WHERE username='{username}' AND password='{password}'""
    user = db.execute(query).fetchone()
    if user:
        session['user'] = username
        return redirect('/')
    return 'Invalid credentials', 401
","142","1","0","explain","0","1571","34577.67"
"I need to design the data model for a multi-tenant SaaS application where each tenant has its own users, subscription plan, and isolated data. Compare three multi-tenancy database strategies: (1) shared schema with tenant_id column, (2) separate schema per tenant, (3) separate database per tenant. For each, discuss storage cost, query isolation, migration complexity, and when you would choose it.","99","0","0","compare","0","1559","33222.65"
"Write a Python asyncio producer-consumer pipeline where: the producer reads lines from a large file asynchronously, puts them into an asyncio.Queue with a max size of 100, three consumer coroutines pull from the queue, apply a regex transform, and write results to an output file. Include proper shutdown logic so all consumers drain the queue before exiting. Add type hints throughout.","96","1","0","write","0","1414","35436.52"
"I am migrating a monolithic Django application to a microservices architecture. The monolith has these modules: user management, order processing, inventory, and notifications. Propose a migration strategy using the strangler-fig pattern. For each service, define its bounded context, the API contract it exposes, how it communicates with others (sync vs async), and the order in which services should be extracted to minimise risk.","108","1","0","define","0","1639","34954.99"
"Build a Python context manager called Timer that: measures wall-clock time of any code block, supports an optional label string for logging, prints elapsed time on exit in milliseconds, and raises a TimeoutError if the block exceeds an optional max_seconds threshold. Show the implementation and three usage examples covering the normal case, the timeout case, and nesting two timers.","96","1","0","other","0","1298","30985.84"
"Explain how garbage collection works in CPython. Cover: reference counting and why it is not sufficient alone, the cyclic garbage collector and the three generational heaps, what triggers a collection cycle, the cost of gc.collect() in a latency-sensitive application, and two practical strategies to reduce GC pressure in long-running Python services.","88","0","0","explain","0","1777","39165.81"
"I want to set up a CI/CD pipeline for a Python microservice using GitHub Actions. The pipeline should: run unit tests with pytest and fail on < 80% coverage, lint with ruff and type-check with mypy, build and push a Docker image to GHCR with a SHA tag on every merge to main, and deploy to a Kubernetes cluster using kubectl rollout. Write the complete GitHub Actions YAML for this workflow.","97","0","0","write","0","1395","34850.27"
"Describe the full lifecycle of an HTTP/2 request from the moment a browser sends it to when it renders the response. Include: TLS handshake and ALPN negotiation, stream multiplexing and flow control, header compression with HPACK, how server push works and when it helps, and how HTTP/2 differs from HTTP/1.1 for a page with 40 assets.","83","0","0","describe","0","1583","35010.5"
"I have a React application where a parent component fetches a list of 1000 items and passes it as a prop to a child component that renders them in a table. The page becomes sluggish when filtering. Identify all the likely performance problems in this setup and provide concrete fixes using useMemo, useCallback, React.memo, and windowing (react-window). Include annotated code examples for each.","98","1","0","list","0","1720","41349.65"
"Write a Kubernetes Deployment and Service manifest for a stateless Python FastAPI application. Requirements: 3 replicas, rolling update strategy with maxSurge=1 and maxUnavailable=0, resource requests of 256Mi / 0.25 CPU and limits of 512Mi / 0.5 CPU, a liveness probe on GET /healthz and a readiness probe on GET /ready, an environment variable API_KEY injected from a Kubernetes Secret, and a ClusterIP Service on port 80 targeting container port 8000.","113","1","0","write","0","1466","37871.09"
